Идентификационный номер (номер каробки-номер пластины),OBJECT,RA,DEC,DATE-OBS,EXPTIME,TIME-OBS (tзв-s),TIME-END,SIZE,TELESCOPE,OBSERVER,COMMENTS
14S-2.6-1,STAR,16h00m,00.00,25-26.02.1987,10m,02h46m,,11.9*9,Большой Шмидт,Солодовников В.В.,
14S-3.6-1,STAR,16h00m,-50.00,25-26.02.1987,10m,03h00m,,11.9*9,Большой Шмидт,Солодовников В.В.,
14S-2.7,STAR,16h00m,-10.00,25-26.02.1987,10m,03h13m,,11.9*9,Большой Шмидт,Солодовников В.В.,
14S-3.7,STAR,16h00m,-15.00,25-26.02.1987,10m,03h26m,,11.9*9,Большой Шмидт,Солодовников В.В.,
14S-2.8,STAR,16h00m,-20.00,25-26.02.1987,10m,03h40m,,11.9*9,Большой Шмидт,Солодовников В.В.,
14S-3.8-1,STAR,16h00m,-25.00,25-26.02.1987,10m,03h53m,,11.9*9,Большой Шмидт,Солодовников В.В.,
13S-2.1,STAR,05h00m,-20.00,23-24.02.1987,10m,22h03m,,11.9*9,Большой Шмидт,Солодовников В.В.,
13S-3.1,STAR,05h00m,-15.00,23-24.02.1987,12m,22h15m,,11.9*9,Большой Шмидт,Солодовников В.В.,
13S-2.2,STAR,05h00m,-10.00,23-24.02.1987,10m,22h27m,,11.9*9,Большой Шмидт,Солодовников В.В.,
13S-3.2,STAR,05h30m,-20.00,23-24.02.1987,9m,22h40m,,11.9*9,Большой Шмидт,Солодовников В.В.,
13S-2.3,STAR,05h30m,-15.00,23-24.02.1987,8m,22h49m,,11.9*9,Большой Шмидт,Солодовников В.В.,
13S-3.3,STAR,05h30m,-10.00,23-24.02.1987,8m,22h58m,,11.9*9,Большой Шмидт,Солодовников В.В.,
13S-2.4,STAR,06h00m,-20.00,23-24.02.1987,9m,23h10m,,11.9*9,Большой Шмидт,Солодовников В.В.,
13S-3.4,STAR,06h00m,-15.00,23-24.02.1987,9m,23h22m,,11.9*9,Большой Шмидт,Солодовников В.В.,
13S-2.5,STAR,06h00m,-10.00,23-24.02.1987,9m,23h33m,,11.9*9,Большой Шмидт,Солодовников В.В.,
13S-3.5,STAR,05h30m,-20.00,23-24.02.1987,10m,23h49m,,11.9*9,Большой Шмидт,Солодовников В.В.,
13S-2.6,M44 (Ясли),08 37 20.9,19 47 56,23-24.02.1987,11m,00h15m,,11.9*9,Большой Шмидт,Солодовников В.В.,
13S-3.6,STAR,12h00m,-25.00,23-24.02.1987,14m,00h43m,,11.9*9,Большой Шмидт,Солодовников В.В.,
13S-2.7,STAR,12h00m,-20.00,23-24.02.1987,10m,00h57m,,11.9*9,Большой Шмидт,Солодовников В.В.,
13S-3.7,STAR,12h00m,-15.00,23-24.02.1987,10m,01h09m,,11.9*9,Большой Шмидт,Солодовников В.В.,
13S-2.8,STAR,12h00m,-10.00,23-24.02.1987,8m,01h21m,,11.9*9,Большой Шмидт,Солодовников В.В.,
13S-3.8,STAR,12h00m,-05.00,23-24.02.1987,10m,01h33m,,11.9*9,Большой Шмидт,Солодовников В.В.,
13S-2.9,STAR,12h00m,00.00,23-24.02.1987,10m,01h45m,,11.9*9,Большой Шмидт,Солодовников В.В.,
13S-3.9,STAR,12h00m,05.00,23-24.02.1987,9m,01h57m,,11.9*9,Большой Шмидт,Солодовников В.В.,
13S-2.10,STAR,12h00m,10.00,23-24.02.1987,9m,02h08m,,11.9*9,Большой Шмидт,Солодовников В.В.,
13S-3.10,STAR,12h00m,15.00,23-24.02.1987,10m,02h19m,,11.9*9,Большой Шмидт,Солодовников В.В.,
13S-2.11,STAR,12h00m,20.00,23-24.02.1987,9m30s,02h31m,,11.9*9,Большой Шмидт,Солодовников В.В.,
13S-3.11,STAR,12h00m,25.00,23-24.02.1987,9m,02h47m,,11.9*9,Большой Шмидт,Солодовников В.В.,
13S-2.12,STAR,12h00m,30.00,23-24.02.1987,10m,03h01m,,11.9*9,Большой Шмидт,Солодовников В.В.,
13S-3.12,STAR,12h00m,35.00,23-24.02.1987,10m,03h14m,,11.9*9,Большой Шмидт,Солодовников В.В.,
13S-2.13,STAR,12h00m,40.00,23-24.02.1987,12m,03h27m,,11.9*9,Большой Шмидт,Солодовников В.В.,
13S-3.13,STAR,12h00m,45.00,23-24.02.1987,10m,03h40m,,11.9*9,Большой Шмидт,Солодовников В.В.,
13S-2.14,STAR,12h00m,50.00,23-24.02.1987,10m,03h52m,,11.9*9,Большой Шмидт,Солодовников В.В.,
13S-3.14,STAR,12h00m,55.00,23-24.02.1987,11.5m,04h04m,,11.9*9,Большой Шмидт,Солодовников В.В.,
13S-2.15,STAR,12h00m,60.00,23-24.02.1987,9m,04h17m,,11.9*9,Большой Шмидт,Солодовников В.В.,
15S-2.1,STAR,12h30m,-03.00,06-07.05.1987,,03h00m,,11.9*9,Большой Шмидт,Солодовников В.В.,
15S-3.1,STAR,12h30m,40.00,06-07.05.1987,,03h15m,,11.9*9,Большой Шмидт,Солодовников В.В.,
15S-2.2,STAR,12h30m,40.00,06-07.05.1987,,03h25m,,11.9*9,Большой Шмидт,Солодовников В.В.,
15S-3.2,STAR,12h30m,48.00,06-07.05.1987,,03h39m,,11.9*9,Большой Шмидт,Солодовников В.В.,
15S-2.3,STAR,12h30m,48.00,06-07.05.1987,,03h50m,,11.9*9,Большой Шмидт,Солодовников В.В.,
15S-3.3,STAR,13h00m,00.00,06-07.05.1987,,04h03m,,11.9*9,Большой Шмидт,Солодовников В.В.,
15S-2.4,STAR,13h00m,05.00,06-07.05.1987,,04h14m,,11.9*9,Большой Шмидт,Солодовников В.В.,
15S-3.4,STAR,13h00m,10.00,06-07.05.1987,,04h25m,,11.9*9,Большой Шмидт,Солодовников В.В.,
15S-2.5,STAR,13h30m,00.00,06-07.05.1987,,04h36m,,11.9*9,Большой Шмидт,Солодовников В.В.,
15S-3.5,STAR,13h30m,05.00,06-07.05.1987,,04h46m,,11.9*9,Большой Шмидт,Солодовников В.В.,
15S-2.6,STAR,13h30m,10.00,06-07.05.1987,,04h57m,,,Большой Шмидт,Солодовников В.В.,
15S-3.6,STAR,13h30m,15.00,06-07.05.1987,,05h06m,,,Большой Шмидт,Солодовников В.В.,
16S-2.1,STAR,13h30m,00.00,26-27.05.1987,11m,01h20m,,,Большой Шмидт,Солодовников В.В.,
16S-3.1,STAR,13h30m,05.00,26-27.05.1987,10m,01h33m,,,Большой Шмидт,Солодовников В.В.,
16S-2.2,STAR,13h30m,10.00,26-27.05.1987,10m,01h45m,,,Большой Шмидт,Солодовников В.В.,
16S-3.2,STAR,13h30m,15.00,26-27.05.1987,10m,01h57m,,,Большой Шмидт,Солодовников В.В.,
16S-2.3,STAR,13h30m,20.00,26-27.05.1987,10m,02h09m,,,Большой Шмидт,Солодовников В.В.,
16S-3.3,STAR,14h00m,00.00,26-27.05.1987,11m,02h23m,,,Большой Шмидт,Солодовников В.В.,
16S-2.4,STAR,14h00m,05.00,26-27.05.1987,10.5m,02h35m,,,Большой Шмидт,Солодовников В.В.,
16S-3.4,STAR,14h00m,10.00,26-27.05.1987,10m,02h48m,,,Большой Шмидт,Солодовников В.В.,
16S-2.5,STAR,14h00m,15.00,26-27.05.1987,10m,02h59m,,,Большой Шмидт,Солодовников В.В.,
16S-3.5,STAR,14h00m,20.00,26-27.05.1987,10m,03h11m,,,Большой Шмидт,Солодовников В.В.,
16S-2.6,STAR,14h00m,25.00,26-27.05.1987,10m,03h23m,,,Большой Шмидт,Солодовников В.В.,
16S-3.6,STAR,14h30m,00.00,26-27.05.1987,10m,03h37m,,,Большой Шмидт,Солодовников В.В.,
16S-2.7,STAR,14h30m,05.00,26-27.05.1987,10m,03h48m,,,Большой Шмидт,Солодовников В.В.,
16S-3.7,STAR,14h30m,10.00,26-27.05.1987,10m,03h59m,,,Большой Шмидт,Солодовников В.В.,
16S-2.8,STAR,14h30m,15.00,26-27.05.1987,10m,04h11m,,,Большой Шмидт,Солодовников В.В.,
16S-3.8,STAR,14h30m,20.00,26-27.05.1987,10.5m,04h23m,,,Большой Шмидт,Солодовников В.В.,
16S-2.9,STAR,14h30m,25.00,26-27.05.1987,10m,04h35m,,,Большой Шмидт,Солодовников В.В.,
17S-2.6,STAR,14h00m,25.00,29-30.05.1987,,02h10m,,,Большой Шмидт,Солодовников В.В.,
17S-3.6,STAR,14h30m,05.00,29-30.05.1987,,02h22m,,,Большой Шмидт,Солодовников В.В.,
17S-2.7,STAR,14h30m,10.00,29-30.05.1987,,02h34m,,,Большой Шмидт,Солодовников В.В.,
17S-3.7,STAR,14h30m,15.00,29-30.05.1987,,02h46m,,,Большой Шмидт,Солодовников В.В.,
17S-2.8,STAR,14h30m,20.00,29-30.05.1987,,02h57m,,,Большой Шмидт,Солодовников В.В.,
17S-3.8,STAR,14h30m,25.00,29-30.05.1987,,03h10m,,,Большой Шмидт,Солодовников В.В.,
17S-2.9,STAR,14h30m,25.00,29-30.05.1987,,03h23m,,,Большой Шмидт,Солодовников В.В.,
17S-3.9,Aql,19h50m,09.00,29-30.05.1987,,03h40m,,,Большой Шмидт,Солодовников В.В.,
17S-2.10,Delphinus,20h30m,15.30,29-30.05.1987,,03h57m,,,Большой Шмидт,Солодовников В.В.,
17S-3.10,Aqr,22h30m,00.00,29-30.05.1987,,04h11m,,,Большой Шмидт,Солодовников В.В.,
18S-2.1,STAR,16h30m,-27.00,02-03.06.1987,,02h40m,,,Большой Шмидт,Солодовников В.В.,
18S-3.1,STAR,16h30m,-25.00,02-03.06.1987,,02h52m,,,Большой Шмидт,Солодовников В.В.,
18S-2.2,STAR,16h30m,-20.00,02-03.06.1987,,03h03m,,,Большой Шмидт,Солодовников В.В.,
18S-3.2,STAR,16h30m,-15.00,02-03.06.1987,,03h14m,,,Большой Шмидт,Солодовников В.В.,
18S-2.3,STAR,16h30m,-10.00,02-03.06.1987,,03h24m,,,Большой Шмидт,Солодовников В.В.,
18S-3.3,STAR,16h30m,-05.00,02-03.06.1987,,03h34m,,,Большой Шмидт,Солодовников В.В.,
18S-2.4,STAR,16h30m,00.00,02-03.06.1987,,03h44m,,,Большой Шмидт,Солодовников В.В.,
18S-3.4,STAR,16h30m,05.00,02-03.06.1987,,03h54m,,,Большой Шмидт,Солодовников В.В.,
18S-2.5,STAR,16h30m,10.00,02-03.06.1987,10m,04h04m,,,Большой Шмидт,Солодовников В.В.,
18S-3.5,STAR,16h30m,15.00,02-03.06.1987,10m,04h14m,,,Большой Шмидт,Солодовников В.В.,
18S-2.6,STAR,16h30m,20.00,02-03.06.1987,10m,04h24m,,,Большой Шмидт,Солодовников В.В.,
18S-3.6,STAR,16h30m,25.00,02-03.06.1987,10m,04h34m,,,Большой Шмидт,Солодовников В.В.,
19S-2.1,STAR,22h30m,-30.00,23-24.09.1987,10m,01h00m,,,Большой Шмидт,Солодовников В.В.,
19S-3.1,STAR,22h30m,-18.00,23-24.09.1987,10m,01h13m,,,Большой Шмидт,Солодовников В.В.,
19S-2.2,STAR,22h30m,-10.00,23-24.09.1987,10m,01h25m,,,Большой Шмидт,Солодовников В.В.,
19S-3.2,STAR,22h30m,-14.00,23-24.09.1987,10m,01h40m,,,Большой Шмидт,Солодовников В.В.,
19S-2.4,STAR,22h30m,65.00,23-24.09.1987,10m,02h22m,,,Большой Шмидт,Солодовников В.В.,
19S-3.4,STAR,22h30m,70.00,23-24.09.1987,10m,02h24m,,,Большой Шмидт,Солодовников В.В.,
20S-2.1,STAR,22h30m,-30.00,23-24.09.1987,10m,01h00m,,,Большой Шмидт,Солодовников В.В.,
20S-3.1,STAR,22h30m,-18.00,23-24.09.1987,10m,01h13m,,,Большой Шмидт,Солодовников В.В.,
20S-2.2,STAR,22h30m,-10.00,23-24.09.1987,10m,01h25m,,,Большой Шмидт,Солодовников В.В.,
20S-3.2,STAR,22h30m,-14.00,23-24.09.1987,10m,01h40m,,,Большой Шмидт,Солодовников В.В.,
20S-2.3,STAR,22h30m,60.00,23-24.09.1987,10m,01h55m,,,Большой Шмидт,Солодовников В.В.,
20S-3.3,STAR,22h30m,63.00,23-24.09.1987,12m,02h09m,,,Большой Шмидт,Солодовников В.В.,
20S-2.4,STAR,22h30m,65.00,23-24.09.1987,,,,,Большой Шмидт,Солодовников В.В.,
20S-3.4,STAR,22h30m,70.00,23-24.09.1987,,,,,Большой Шмидт,Солодовников В.В.,
21S-2.4,M42-NGC1976-Sh-2-281,05h35m,-05.23,13-14.12.1987,,22h53m,,,Большой Шмидт,Солодовников В.В.,
21S-3.4,M42-NGC1976-Sh-2-281,05h35m,-05.23,13-14.12.1987,,23h07m,,,Большой Шмидт,Солодовников В.В.,
21S-2.5,STAR,05h30m,-10.00,13-14.12.1987,10m,23h21m,,,Большой Шмидт,Солодовников В.В.,
21S-3.5,STAR,05h30m,-15.00,13-14.12.1987,15m,23h33m,,,Большой Шмидт,Солодовников В.В.,
21S-2.6,STAR,05h30m,-20.00,13-14.12.1987,10m,23h44m,,,Большой Шмидт,Солодовников В.В.,
21S-3.6,STAR,05h30m,-25.00,13-14.12.1987,10m,23h56m,,,Большой Шмидт,Солодовников В.В.,
21S-2.7,STAR,05h30m,-30.00,13-14.12.1987,9m,00h07m,,,Большой Шмидт,Солодовников В.В.,
21S-3.7,STAR,05h00m,-30.00,13-14.12.1987,10m,00h22m,,,Большой Шмидт,Солодовников В.В.,
21S-2.8,STAR,05h00m,-25.00,13-14.12.1987,10m,00h33m,,,Большой Шмидт,Солодовников В.В.,
21S-3.8,STAR,05h00m,-20.00,13-14.12.1987,10m,00h46m,,,Большой Шмидт,Солодовников В.В.,
21S-2.9,STAR,05h00m,-15.00,13-14.12.1987,10m,00h58m,,,Большой Шмидт,Солодовников В.В.,
21S-3.9,STAR,05h00m,-10.00,13-14.12.1987,10m,01h09m,,,Большой Шмидт,Солодовников В.В.,
21S-2.10,STAR,06h30m,15.00,13-14.12.1987,10m,01h22m,,,Большой Шмидт,Солодовников В.В.,
21S-3.10,STAR,06h30m,10.00,13-14.12.1987,9m,01h32m,,,Большой Шмидт,Солодовников В.В.,
22S-2.1,STAR,07h00m,-25.00,19-20.02.1987,10m,21h27m,,,Большой Шмидт,Солодовников В.В.,
22S-3.1,STAR,07h00m,-20.00,19-20.02.1987,10m,21h31m,,,Большой Шмидт,Солодовников В.В.,
22S-2.3,STAR,07h00m,-05.00,19-20.02.1987,15m,22h10m,,,Большой Шмидт,Солодовников В.В.,
22S-3.3,STAR,07h00m,00.00,19-20.02.1987,11m,22h36m,,,Большой Шмидт,Солодовников В.В.,
22S-2.4,STAR,07h00m,05.00,19-20.02.1987,13m,22h30m,,,Большой Шмидт,Солодовников В.В.,
22S-3.4,STAR,07h00m,10.00,19-20.02.1987,,23h06m,,,Большой Шмидт,Солодовников В.В.,
22S-2.5,STAR,07h00m,15.00,19-20.02.1987,10m,23h18m,,,Большой Шмидт,Солодовников В.В.,
22S-3.5,STAR,07h00m,20.00,19-20.02.1987,10m,23h32m,,,Большой Шмидт,Солодовников В.В.,
22S-2.6,STAR,07h00m,12.50,19-20.02.1987,10m,23h47m,,,Большой Шмидт,Солодовников В.В.,
22S-3.6,STAR,07h00m,30.00,19-20.02.1987,10m,00h00m,,,Большой Шмидт,Солодовников В.В.,
22S-2.7,STAR,07h00m,35.00,19-20.02.1987,,00h14m,,,Большой Шмидт,Солодовников В.В.,
22S-3.7,STAR,07h00m,40.00,19-20.02.1987,,00h28m,,,Большой Шмидт,Солодовников В.В.,
22S-2.8,STAR,07h00m,45.00,19-20.02.1987,12m,00h40m,,,Большой Шмидт,Солодовников В.В.,
22S-3.8,STAR,07h00m,50.00,19-20.02.1987,10m,00h50m,,,Большой Шмидт,Солодовников В.В.,
22S-2.1.2,STAR,16h30m,00.00,27-28.02.1987,10m,03h17m,,,Большой Шмидт,Солодовников В.В.,
22S-3.1.2,STAR,16h30m,-05.00,27-28.02.1987,12m,03h33m,,,Большой Шмидт,Солодовников В.В.,
22S-2.2.1,STAR,16h30m,-10.00,27-28.02.1987,,03h45m,,,Большой Шмидт,Солодовников В.В.,
22S-3.2.1,STAR,16h00m,-15.00,27-28.02.1987,,03h59m,,,Большой Шмидт,Солодовников В.В.,
22S-2.3.1,STAR,16h30m,-17.00,27-28.02.1987,,04h12m,,,Большой Шмидт,Солодовников В.В.,
22S-3.3.1,STAR,16h30m,-20.00,27-28.02.1987,,04h35m,,,Большой Шмидт,Солодовников В.В.,
22S-2.4.1,STAR,16h30m,-17.00,27-28.02.1987,,04h49m,,,Большой Шмидт,Солодовников В.В.,
22S-3.4.1,STAR,16h30m,-25.00,27-28.02.1987,,04h57m,,,Большой Шмидт,Солодовников В.В.,
22S-2.5.1,STAR,17h00m,-25.00,27-28.02.1987,,05h16m,,,Большой Шмидт,Солодовников В.В.,
22S-3.5.1,STAR,17h00m,-20.00,27-28.02.1987,,05h29m,,,Большой Шмидт,Солодовников В.В.,
22S-2.6.1,STAR,17h00m,-10.05,27-28.02.1987,,05h41m,,,Большой Шмидт,Солодовников В.В.,
22S-3.6.1,STAR,17h00m,-15.00,27-28.02.1987,,05h54m,,,Большой Шмидт,Солодовников В.В.,
22S-2.7.1,STAR,17h00m,-05.00,27-28.02.1987,,06h07m,,,Большой Шмидт,Солодовников В.В.,
22S-3.7.1,STAR,17h00m,00.00,27-28.02.1987,,06h17m,,,Большой Шмидт,Солодовников В.В.,
23S-2.4,NGC3587-M97,11h12m,55.00,17-18.06.1988,30m,03h46m,,,Большой Шмидт,Солодовников В.В.,
23S-2.3,STAR,19h00m,-10.00,17-18.06.1988,10m,02h48m,,,Большой Шмидт,Солодовников В.В.,
23S-3.3,STAR,19h00m,-10.00,17-18.06.1988,5m,02h57m,,,Большой Шмидт,Солодовников В.В.,
23S-2.2,IC4645,17 13 10.659,43 09 34.89,17-18.06.1988,10m,02h18m,,,Большой Шмидт,Солодовников В.В.,
23S-3.2,STAR,19h00m,20.00,17-18.06.1988,10m,02h33m,,,Большой Шмидт,Солодовников В.В.,
23S-2.1,IC4665,17 13 10.659,43 09 34.89,17-18.06.1988,30m,01h41m,,,Большой Шмидт,Солодовников В.В.,
23S-3.1,IC4666,17 13 10.659,43 09 34.89,17-18.06.1988,50m,02h32m,,,Большой Шмидт,Солодовников В.В.,
24S-2.1,STAR,12h30m,-18.00,01-02.05.1987,10m,02h56m,,,Большой Шмидт,Солодовников В.В.,
24S-3.1,STAR,12h30m,-15.00,01-02.05.1987,10m,03h08m,,,Большой Шмидт,Солодовников В.В.,
24S-2.2,STAR,12h30m,-10.00,01-02.05.1987,10m,03h20m,,,Большой Шмидт,Солодовников В.В.,
24S-3.2,STAR,12h30m,-05.00,01-02.05.1987,10m,03h30m,,,Большой Шмидт,Солодовников В.В.,
24S-2.3,STAR,12h30m,00.00,01-02.05.1987,10m,03h41m,,,Большой Шмидт,Солодовников В.В.,
24S-3.3,STAR,12h30m,05.00,01-02.05.1987,12m,03h54m,,,Большой Шмидт,Солодовников В.В.,
24S-2.4,STAR,12h30m,10.00,01-02.05.1987,10m,04h06m,,,Большой Шмидт,Солодовников В.В.,
24S-3.4,STAR,12h30m,15.00,01-02.05.1987,10m,04h18m,,,Большой Шмидт,Солодовников В.В.,
24S-2.5,STAR,12h30m,20.00,01-02.05.1987,10m,04h25m,,,Большой Шмидт,Солодовников В.В.,
24S-3.5,STAR,12h30m,25.00,01-02.05.1987,10m,04h40m,,,Большой Шмидт,Солодовников В.В.,
24S-2.6,STAR,13h00m,25.00,01-02.05.1987,10m,04h47m,,,Большой Шмидт,Солодовников В.В.,
24S-3.6,STAR,13h00m,30.00,01-02.05.1987,10m,04h59m,,,Большой Шмидт,Солодовников В.В.,
24S-2.9,STAR,13h00m,50.00,30.04-01.05.1987,10m,03h58m,,,Большой Шмидт,Солодовников В.В.,
24S-3.9,STAR,13h00m,45.00,30.04-01.05.1987,10m,04h10m,,,Большой Шмидт,Солодовников В.В.,
24S-2.10,STAR,13h00m,40.00,30.04-01.05.1987,10m,04h17m,,,Большой Шмидт,Солодовников В.В.,
24S-3.10,STAR,13h00m,35.00,30.04-01.05.1987,10m,04h35m,,,Большой Шмидт,Солодовников В.В.,
24S-2.1.1,STAR,12h30m,-25.00,30.04-01.05.1987,10m,00h46m,,,Большой Шмидт,Солодовников В.В.,
24S-3.1.1,STAR,12h30m,-20.00,30.04-01.05.1987,10m,00h58m,,,Большой Шмидт,Солодовников В.В.,
24S-2.2.1,STAR,12h30m,-15.00,30.04-01.05.1987,10m,01h10m,,,Большой Шмидт,Солодовников В.В.,
24S-3.2.1,STAR,12h30m,-10.00,30.04-01.05.1987,10m,01h22m,,,Большой Шмидт,Солодовников В.В.,
24S-2.3.1,STAR,12h30m,-05.00,30.04-01.05.1987,10m,01h35m,,,Большой Шмидт,Солодовников В.В.,
24S-3.3.1,STAR,12h30m,00.00,30.04-01.05.1987,10m,01h47m,,,Большой Шмидт,Солодовников В.В.,
24S-2.4.1,STAR,12h30m,05.00,30.04-01.05.1987,10m,01h58m,,,Большой Шмидт,Солодовников В.В.,
24S-3.4.1,STAR,12h30m,10.00,30.04-01.05.1987,10m,02h11m,,,Большой Шмидт,Солодовников В.В.,
24S-2.5.1,STAR,12h30m,15.00,30.04-01.05.1987,10m,02h22m,,,Большой Шмидт,Солодовников В.В.,
24S-3.5.1,STAR,12h30m,20.00,30.04-01.05.1987,10m,02h34m,,,Большой Шмидт,Солодовников В.В.,
24S-2.6.1,STAR,12h30m,25.00,30.04-01.05.1987,10m,02h46m,,,Большой Шмидт,Солодовников В.В.,
24S-3.6.1,STAR,12h30m,30.00,30.04-01.05.1987,10m,02h58m,,,Большой Шмидт,Солодовников В.В.,
24S-2.7.1,STAR,12h30m,35.00,30.04-01.05.1987,10m,03h00m,,,Большой Шмидт,Солодовников В.В.,
24S-3.7.1,STAR,12h30m,40.00,30.04-01.05.1987,10m,03h21m,,,Большой Шмидт,Солодовников В.В.,
24S-2.8.1,STAR,12h30m,45.00,30.04-01.05.1987,10m,03h34m,,,Большой Шмидт,Солодовников В.В.,
24S-3.8.1,STAR,12h30m,50.00,30.04-01.05.1987,10m,03h46m,,,Большой Шмидт,Солодовников В.В.,