Идентификационный номер (номер коробки-номер пластины),OBJECT,RA,DEC,DATE-OBS,EXPTIME,TIME-OBS (tзв-s),TIME-END,SIZE,TELESCOPE,OBSERVER,COMMENTS,,,,,,,,,,,,,,
34S-2.7,Star,5h00,-15.00,08-09.12.1986,10m,,,9x12,Большой Шмидт,Солодовников В.В.,,,,,,,,,,,,,,,
34S-3.7,Star,5h00,-20.00,08-09.12.1986,10m,,,9x12,Большой Шмидт,Солодовников В.В.,,,,,,,,,,,,,,,
34S-2.8,Star,5h00,-5.00,08-09.12.1986,10m,,,9x12,Большой Шмидт,Солодовников В.В.,,,,,,,,,,,,,,,
34S-3.8,Star,5h00,0.00,08-09.12.1986,10m,,,9x12,Большой Шмидт,Солодовников В.В.,,,,,,,,,,,,,,,
34S-2.9,Star,5h00,5.00,08-09.12.1986,10m,,,9x12,Большой Шмидт,Солодовников В.В.,,,,,,,,,,,,,,,
34S-3.9,Star,5h00,10.00,08-09.12.1986,10m,,,9x12,Большой Шмидт,Солодовников В.В.,,,,,,,,,,,,,,,
34S-2.10,Star,5h00,15.00,08-09.12.1986,10m,,,9x12,Большой Шмидт,Солодовников В.В.,,,,,,,,,,,,,,,
34S-3.10,Star,5h00,20.00,08-09.12.1986,10m,,,9x12,Большой Шмидт,Солодовников В.В.,,,,,,,,,,,,,,,
34S-2.11,Star,5h00,25.00,08-09.12.1986,10m,,,9x12,Большой Шмидт,Солодовников В.В.,,,,,,,,,,,,,,,
34S-3.11,Star,5h00,30.00,08-09.12.1986,10m,,,9x12,Большой Шмидт,Солодовников В.В.,,,,,,,,,,,,,,,
34S-2.12,Star,5h00,35.00,08-09.12.1986,10m,,,9x12,Большой Шмидт,Солодовников В.В.,,,,,,,,,,,,,,,
35S-2.1,Star(UMa),14h00,65.00,27-28.08.1986,10m,22h47,,9x12,Большой Шмидт,Солодовников В.В.,,,,,,,,,,,,,,,
35S-3.1,Star(UMa),14h00,60.00,27-28.08.1986,10m,22h59,,9x12,Большой Шмидт,Солодовников В.В.,,,,,,,,,,,,,,,
35S-2.2,Star(UMa),14h00,55.00,27-28.08.1986,10m,23h12,,9x12,Большой Шмидт,Солодовников В.В.,,,,,,,,,,,,,,,
35S-3.2,Star(UMa),14h00,50.00,27-28.08.1986,10m,23h24,,9x12,Большой Шмидт,Солодовников В.В.,,,,,,,,,,,,,,,
35S-2.3,Star(UMa),14h00,45.00,27-28.08.1986,10m,23h37,,9x12,Большой Шмидт,Солодовников В.В.,,,,,,,,,,,,,,,
35S-3.3,Star(UMa),16h00,15.00,27-28.08.1986,9m,23h55,,9x12,Большой Шмидт,Солодовников В.В.,,,,,,,,,,,,,,,
35S-2.4,Star(Ser),16h00,-20.00,27-28.08.1986,7m,0h05,,9x12,Большой Шмидт,Солодовников В.В.,,,,,,,,,,,,,,,
35S-3.4,Star(Del),,,27-28.08.1986,8m,0h16,,9x12,Большой Шмидт,Солодовников В.В.,,,,,,,,,,,,,,,
35S-2.1,Star(UMa),14h00,65.00,28-29.08.1986,9m,23h02,,9x12,Большой Шмидт,Солодовников В.В.,,,,,,,,,,,,,,,
35S-3.1,Star(UMa),14h00,60.00,28-29.08.1986,9.5m,23h15,,9x12,Большой Шмидт,Солодовников В.В.,,,,,,,,,,,,,,,
35S-2.2,Star(UMa),14h00,55.00,28-29.08.1986,9m,23h25,,9x12,Большой Шмидт,Солодовников В.В.,,,,,,,,,,,,,,,
35S-3.2,Star(UMa),14h00,50.00,28-29.08.1986,9m,23h37,,9x12,Большой Шмидт,Солодовников В.В.,,,,,,,,,,,,,,,
35S-2.3,Star(UMa),14h00,45.00,28-29.08.1986,9m,23h49,,9x12,Большой Шмидт,Солодовников В.В.,,,,,,,,,,,,,,,
35S-3.3,Star(UMa),14h00,40.00,28-29.08.1986,9m,0h01,,9x12,Большой Шмидт,Солодовников В.В.,,,,,,,,,,,,,,,
35S-2.4,Star(UMa),14h00,40.00,28-29.08.1986,9m,0h12,,9x12,Большой Шмидт,Солодовников В.В.,,,,,,,,,,,,,,,
35S-3.4,Star(UMa),14h00,45.00,28-29.08.1986,9m,0h24,,9x12,Большой Шмидт,Солодовников В.В.,,,,,,,,,,,,,,,
35S-2.5,Star(UMa),13h30,50.00,28-29.08.1986,9m,0h35,,9x12,Большой Шмидт,Солодовников В.В.,,,,,,,,,,,,,,,
35S-3.5,Star(UMa),13h30,55.00,28-29.08.1986,9m,0h47,,9x12,Большой Шмидт,Солодовников В.В.,,,,,,,,,,,,,,,
35S-2.6,Star(UMa),13h30,60.00,28-29.08.1986,9m,0h58,,9x12,Большой Шмидт,Солодовников В.В.,,,,,,,,,,,,,,,
35S-3.6,Star(UMa),13h30,65.00,28-29.08.1986,9m,1h09,,9x12,Большой Шмидт,Солодовников В.В.,,,,,,,,,,,,,,,
35S-2.7,Star(UMa),13h30,70.00,28-29.08.1986,9m,1h20,,9x12,Большой Шмидт,Солодовников В.В.,,,,,,,,,,,,,,,
35S-3.7,Star(UMa),13h30,70.00,28-29.08.1986,15m,1h35,,9x12,Большой Шмидт,Солодовников В.В.,,,,,,,,,,,,,,,
35S-2.1,NGC5272,13h40,28.00,29-30.08.1986,10m,22h16,,9x12,Большой Шмидт,Солодовников В.В.,,,,,,,,,,,,,,,
35S-3.1,NGC5272,13h40,28.00,29-30.08.1986,10m,22h28,,9x12,Большой Шмидт,Солодовников В.В.,,,,,,,,,,,,,,,
35S-2.2,Star(UMa),14h00,65.00,29-30.08.1986,9m,22h44,,9x12,Большой Шмидт,Солодовников В.В.,,,,,,,,,,,,,,,
35S-3.2,Star(UMa),14h00,40.00,29-30.08.1986,9m,22h38,,9x12,Большой Шмидт,Солодовников В.В.,,,,,,,,,,,,,,,
35S-2.3,Star(UMa),13h30,40.00,29-30.08.1986,9m,23h10,,9x12,Большой Шмидт,Солодовников В.В.,,,,,,,,,,,,,,,
35S-3.3,Star(UMa),13h30,45.00,29-30.08.1986,9m,23h22,,9x12,Большой Шмидт,Солодовников В.В.,,,,,,,,,,,,,,,
35S-2.4,Star(UMa),13h30,50.00,29-30.08.1986,9m,23h33,,9x12,Большой Шмидт,Солодовников В.В.,,,,,,,,,,,,,,,
35S-3.4,Star(UMa),13h30,55.00,29-30.08.1986,9m,23h47,,9x12,Большой Шмидт,Солодовников В.В.,,,,,,,,,,,,,,,
35S-2.5,Star(UMa),13h30,60.00,29-30.08.1986,9m,0h00,,9x12,Большой Шмидт,Солодовников В.В.,,,,,,,,,,,,,,,
35S-3.5,Star(UMa),13h30,65.00,29-30.08.1986,9m,0h10,,9x12,Большой Шмидт,Солодовников В.В.,,,,,,,,,,,,,,,
35S-2.6,Star(UMa),13h30,70.00,29-30.08.1986,9m,0h21,,9x12,Большой Шмидт,Солодовников В.В.,,,,,,,,,,,,,,,
35S-3.6,Star(UMa),13h30,75.00,29-30.08.1986,9m,0h35,,9x12,Большой Шмидт,Солодовников В.В.,,,,,,,,,,,,,,,
35S-2.2,NGC5272,13h40,35.00,01-02.09.1986,10m,23h03,,9x12,Большой Шмидт,Солодовников В.В.,,,,,,,,,,,,,,,
35S-3.2,NGC5272,13h40,35.00,01-02.09.1986,11m,22h51,,9x12,Большой Шмидт,Солодовников В.В.,,,,,,,,,,,,,,,
35S-2.3,NGC5272,13h40,35.00,01-02.09.1986,8m,,,9x12,Большой Шмидт,Солодовников В.В.,выше по дельта NGC5272,,,,,,,,,,,,,,
35S-3.3,Star(UMa),14h00,40.00,01-02.09.1986,15m,,,9x12,Большой Шмидт,Солодовников В.В.,,,,,,,,,,,,,,,
35S-2.4,Star(UMa),14h00,40.00,01-02.09.1986,15m,0h00,,9x12,Большой Шмидт,Солодовников В.В.,,,,,,,,,,,,,,,
35S-3.4,Star(UMa),10h00,70.0,01-02.09.1986,12m,0h30,,9x12,Большой Шмидт,Солодовников В.В.,,,,,,,,,,,,,,,
35S-2.5,Star(UMa),10h00,65.00,01-02.09.1986,10m,0h43,,9x12,Большой Шмидт,Солодовников В.В.,,,,,,,,,,,,,,,
35S-3.5,Star(UMa),10h00,60.00,01-02.09.1986,10m,0h56,,9x12,Большой Шмидт,Солодовников В.В.,,,,,,,,,,,,,,,
35S-2.6,NGC281,0h50,56.03,01-02.09.1986,15m,1h44,,9x12,Большой Шмидт,Солодовников В.В.,,,,,,,,,,,,,,,
35S-3.6,NGC281,0h50,56.03,01-02.09.1986,10m,2h01,,9x12,Большой Шмидт,Солодовников В.В.,,,,,,,,,,,,,,,
35S-2.7,JC1805,2h18,61.00,01-02.09.1986,15m,2h24,,9x12,Большой Шмидт,Солодовников В.В.,,,,,,,,,,,,,,,
35S-3.7,JC1805,2h18,61.00,01-02.09.1986,10m,2h40,,9x12,Большой Шмидт,Солодовников В.В.,,,,,,,,,,,,,,,
35S-2.8,JC1808,2h40,61.00,01-02.09.1986,15m,2h36,,9x12,Большой Шмидт,Солодовников В.В.,,,,,,,,,,,,,,,
35S-3.8,JC1808,2h40,61.00,01-02.09.1986,10m,3h12,,9x12,Большой Шмидт,Солодовников В.В.,,,,,,,,,,,,,,,
36S-3.2,orion,05 32 49,-05 25 21,,,,,9x12,Большой Шмидт,Солодовников В.В.,,,,,,,,,,,,,,,
36S-3.6,orion,05 32 49,-05 25 21,,,,,9x12,Большой Шмидт,Солодовников В.В.,,,,,,,,,,,,,,,
36S-3.1,M8,18 00 32,-24 23 21,,,,,9x12,Большой Шмидт,Солодовников В.В.,,,,,,,,,,,,,,,
36S-3.1,Trifid,,,,,,,9x12,Большой Шмидт,Солодовников В.В.,,,,,,,,,,,,,,,
36S-2.2,NGC281,00 49 29,56 17 37,,,,,9x12,Большой Шмидт,Солодовников В.В.,,,,,,,,,,,,,,,
36S-3.5,NGC1499,04 00 01,36 17 03,,,,,9x12,Большой Шмидт,Солодовников В.В.,,,,,,,,,,,,,,,
36S-2.4,Del,,,,,,,9x12,Большой Шмидт,Солодовников В.В.,,,,,,,,,,,,,,,
36S-2.7,M45,03 43 25,23 57 36,,,,,9x12,Большой Шмидт,Солодовников В.В.,,,,,,,,,,,,,,,
37S-2.1,tet Oph,17h17,-25.00,09-10.06.1986,,3h08,,9x12,Большой Шмидт,Солодовников В.В.,,,,,,,,,,,,,,,
37S-3.1,xi Oph,17h17,-21.00,09-10.06.1986,,3h20,,9x12,Большой Шмидт,Солодовников В.В.,,,,,,,,,,,,,,,
37S-2.2,xi Oph,17h17,-21.00,09-10.06.1986,,3h25,,9x12,Большой Шмидт,Солодовников В.В.,,,,,,,,,,,,,,,h
37S-2.3,xi Oph,17h19,-21.00,10-11.06.1986,10m,1h23,,9x12,Большой Шмидт,Солодовников В.В.,,,,,,,,,,,,,,,
37S-2.2,43 Oph,17h20,-28.00,10-11.06.1986,10m,0h49,,9x12,Большой Шмидт,Солодовников В.В.,,,,,,,,,,,,,,,
37S-3.3,nu Ser,17h20,-12.83,10-11.06.1986,10m,1h47,,9x12,Большой Шмидт,Солодовников В.В.,,,,,,,,,,,,,,,
37S-2.4,nu Ser,17h20,-12.83,10-11.06.1986,10m,1h59,,9x12,Большой Шмидт,Солодовников В.В.,,,,,,,,,,,,,,,
37S-3.4,o Ser,17h40,-12.00,10-11.06.1986,10m,2h16,,9x12,Большой Шмидт,Солодовников В.В.,,,,,,,,,,,,,,,
37S-2.5,o Ser,17h40,-12.00,10-11.06.1986,10m,2h29,,9x12,Большой Шмидт,Солодовников В.В.,,,,,,,,,,,,,,,
37S-2.1,Star,17h30,-31.00,14-15.06.1986,11m,0h28,,9x12,Большой Шмидт,Солодовников В.В.,,,,,,,,,,,,,,,
37S-3.1,Star,17h30,-31.00,14-15.06.1986,10m,0h42,,9x12,Большой Шмидт,Солодовников В.В.,,,,,,,,,,,,,,,
37S-2.3,Star,18h00,-32.00,14-15.06.1986,10m,1h18,,9x12,Большой Шмидт,Солодовников В.В.,,,,,,,,,,,,,,,
37S-3.3,Star,18h00,-30.00,14-15.06.1986,12m,1h31,,9x12,Большой Шмидт,Солодовников В.В.,,,,,,,,,,,,,,,
37S-2.4,Star,19h00,-30.00,14-15.06.1986,10m,1h34,,9x12,Большой Шмидт,Солодовников В.В.,,,,,,,,,,,,,,,
37S-3.4,Star,19h00,-25.00,14-15.06.1986,10m,2h05,,9x12,Большой Шмидт,Солодовников В.В.,,,,,,,,,,,,,,,
37S-2.5,Star,19h00,-20.00,14-15.06.1986,10m,2h17,,9x12,Большой Шмидт,Солодовников В.В.,,,,,,,,,,,,,,,
37S-3.5,Star,19h00,-15.00,14-15.06.1986,10m,2h29,,9x12,Большой Шмидт,Солодовников В.В.,,,,,,,,,,,,,,,
37S-2.6,Star,19h00,-10.00,14-15.06.1986,10m,2h40,,9x12,Большой Шмидт,Солодовников В.В.,,,,,,,,,,,,,,,
37S-3.6,Star,19h00,-5.00,14-15.06.1986,10m,2h51,,9x12,Большой Шмидт,Солодовников В.В.,,,,,,,,,,,,,,,
37S-2.7,Star,19h00,0.00,14-15.06.1986,10m,3h03,,9x12,Большой Шмидт,Солодовников В.В.,,,,,,,,,,,,,,,
37S-3.7,Star,19h00,5.00,14-15.06.1986,10m,3h14,,9x12,Большой Шмидт,Солодовников В.В.,,,,,,,,,,,,,,,
37S-2.8,Star,19h00,10.00,14-15.06.1986,10m,3h26,,9x12,Большой Шмидт,Солодовников В.В.,,,,,,,,,,,,,,,
37S-3.8,Star,19h00,15.00,14-15.06.1986,10m,3h38,,9x12,Большой Шмидт,Солодовников В.В.,,,,,,,,,,,,,,,
38S-2.2,Star,19h08,-1.00,15-16.06.1988,10m,2h19,,9x12,Большой Шмидт,Солодовников В.В.,,,,,,,,,,,,,,,
38S-3.3,Star,19h00,30.00,15-16.06.1988,10m,3h01,,9x12,Большой Шмидт,Солодовников В.В.,,,,,,,,,,,,,,,
38S-2.4,Star,19h00,35.00,15-16.06.1988,10m,3h14,,9x12,Большой Шмидт,Солодовников В.В.,,,,,,,,,,,,,,,
38S-3.4,Star,19h00,40.00,15-16.06.1988,10m,3h26,,9x12,Большой Шмидт,Солодовников В.В.,,,,,,,,,,,,,,,
38S-2.5,Star,19h00,45.00,15-16.06.1988,10m,3h37,,9x12,Большой Шмидт,Солодовников В.В.,,,,,,,,,,,,,,,
38S-3.5,Star,19h00,50.00,15-16.06.1988,10m,3h49,,9x12,Большой Шмидт,Солодовников В.В.,,,,,,,,,,,,,,,
38S-2.6,Star,19h00,55.00,15-16.06.1988,9m,3h59,,9x12,Большой Шмидт,Солодовников В.В.,,,,,,,,,,,,,,,
38S-3.6,Star,19h00,60.00,15-16.06.1988,10m,4h10,,9x12,Большой Шмидт,Солодовников В.В.,,,,,,,,,,,,,,,
39S-2.1,Star,19h00,-10.00,16-17.06.1988,5m,2h33,,9x12,Большой Шмидт,Солодовников В.В.,,,,,,,,,,,,,,,
39S-3.1,Star,19h00,-10.00,16-17.06.1988,5m,2h40,,9x12,Большой Шмидт,Солодовников В.В.,,,,,,,,,,,,,,,
39S-2.2,Star,19h00,-10.00,16-17.06.1988,10m,2h55,,9x12,Большой Шмидт,Солодовников В.В.,,,,,,,,,,,,,,,
39S-3.2,Star,19h00,-10.00,16-17.06.1988,10m,3h08,,9x12,Большой Шмидт,Солодовников В.В.,,,,,,,,,,,,,,,
39S-2.3,Star,19h00,-10.00,16-17.06.1988,20m,3h34,,9x12,Большой Шмидт,Солодовников В.В.,,,,,,,,,,,,,,,
39S-3.3,Star,19h00,-10.00,16-17.06.1988,10m,3h52,,9x12,Большой Шмидт,Солодовников В.В.,,,,,,,,,,,,,,,
39S-2.4,Star,19h00,-10.00,16-17.06.1988,20m,4h11,,9x12,Большой Шмидт,Солодовников В.В.,,,,,,,,,,,,,,,
39S-cal1,Calibrovka,,,16-17.06.1988,,,,9x12,Большой Шмидт,Солодовников В.В.,,,,,,,,,,,,,,,
39S-cal2,Calibrovka,,,16-17.06.1988,,,,9x12,Большой Шмидт,Солодовников В.В.,,,,,,,,,,,,,,,
39S-cal3,Calibrovka,,,16-17.06.1988,,,,9x12,Большой Шмидт,Солодовников В.В.,,,,,,,,,,,,,,,
40S-2.1,Star,17h30,3.00,18-19.06.1988,5m,1h16,,9x12,Большой Шмидт,Солодовников В.В.,,,,,,,,,,,,,,,
40S-3.1,Star,17h30,3.00,18-19.06.1988,10m,1h25,,9x12,Большой Шмидт,Солодовников В.В.,,,,,,,,,,,,,,,
40S-2.2,Star,17h40,3.00,18-19.06.1988,5m,1h45,,9x12,Большой Шмидт,Солодовников В.В.,,,,,,,,,,,,,,,
40S-3.2,Star,17h40,3.00,18-19.06.1988,10m,1h55,,9x12,Большой Шмидт,Солодовников В.В.,,,,,,,,,,,,,,,
40S-2.3,JC4665,,,18-19.06.1988,25m,2h57,,9x12,Большой Шмидт,Солодовников В.В.,,,,,,,,,,,,,,,
40S-3.3,Star,19h00,-1.00,18-19.06.1988,25m,3h26,,9x12,Большой Шмидт,Солодовников В.В.,,,,,,,,,,,,,,,
40S-2.4,Star,19h00,-1.00,18-19.06.1988,10m,3h52,,9x12,Большой Шмидт,Солодовников В.В.,,,,,,,,,,,,,,,
40S-3.4,Star,19h00,-1.00,18-19.06.1988,5m,4h00,,9x12,Большой Шмидт,Солодовников В.В.,,,,,,,,,,,,,,,
40S-cal1,Calibrovka,,,18-19.06.1988,,,,9x12,Большой Шмидт,Солодовников В.В.,,,,,,,,,,,,,,,
40S-cal2,Calibrovka,,,18-19.06.1988,,,,9x12,Большой Шмидт,Солодовников В.В.,,,,,,,,,,,,,,,
41S-2.1,Star,19h30,3.00,19-20.06.1988,10m,1h00,,9x12,Большой Шмидт,Солодовников В.В.,,,,,,,,,,,,,,,
41S-3.1,Star,19h30,3.00,19-20.06.1988,5m,1h08,,9x12,Большой Шмидт,Солодовников В.В.,0. передержан,,,,,,,,,,,,,,
41S-2.2,Star,18h00,-15.00,19-20.06.1988,10m,1h21,,9x12,Большой Шмидт,Солодовников В.В.,,,,,,,,,,,,,,,
41S-3.2,Star,18h00,-10.00,19-20.06.1988,10m,1h33,,9x12,Большой Шмидт,Солодовников В.В.,0. передержан,,,,,,,,,,,,,,
41S-2.3,Star,19h00,-0.50,19-20.06.1988,5m,1h45,,9x12,Большой Шмидт,Солодовников В.В.,,,,,,,,,,,,,,,
41S-3.3,Star,19h00,-0.30,19-20.06.1988,10m,1h55,,9x12,Большой Шмидт,Солодовников В.В.,0. передержан,,,,,,,,,,,,,,
41S-2.4,Star,15h00,-15.00,19-20.06.1988,10m,2h12,,9x12,Большой Шмидт,Солодовников В.В.,,,,,,,,,,,,,,,
41S-3.4,Star,15h00,-10.00,19-20.06.1988,10m,2h24,,9x12,Большой Шмидт,Солодовников В.В.,0. передержан,,,,,,,,,,,,,,
41S-2.5,Star,15h00,-5.00,19-20.06.1988,10m,2h36,,9x12,Большой Шмидт,Солодовников В.В.,0. царапины,,,,,,,,,,,,,,
41S-3.5,Star,15h00,0.00,19-20.06.1988,9m,2h47,,9x12,Большой Шмидт,Солодовников В.В.,0. царапины,,,,,,,,,,,,,,
41S-2.6,Star,15h00,5.00,19-20.06.1988,9m,2h57,,9x12,Большой Шмидт,Солодовников В.В.,0. передержан,,,,,,,,,,,,,,
41S-3.6,Star,15h00,10.00,19-20.06.1988,9m,3h08,,9x12,Большой Шмидт,Солодовников В.В.,0. засвет,,,,,,,,,,,,,,
41S-2.7,Star,15h00,15.00,19-20.06.1988,9m,3h18,,9x12,Большой Шмидт,Солодовников В.В.,,,,,,,,,,,,,,,
41S-3.7,Star,15h00,20.00,19-20.06.1988,9m,3h28,,9x12,Большой Шмидт,Солодовников В.В.,,,,,,,,,,,,,,,
41S-2.8,Star,15h00,25.00,19-20.06.1988,9m,3h39,,9x12,Большой Шмидт,Солодовников В.В.,,,,,,,,,,,,,,,
41S-3.8,Star,15h00,30.00,19-20.06.1988,9m,3h51,,9x12,Большой Шмидт,Солодовников В.В.,,,,,,,,,,,,,,,
41S-cal1,Calibrovka,,,19-20.06.1988,,,,9x12,Большой Шмидт,Солодовников В.В.,,,,,,,,,,,,,,,
41S-cal2,Calibrovka,,,19-20.06.1988,,,,9x12,Большой Шмидт,Солодовников В.В.,,,,,,,,,,,,,,,
42S-2.1,alf Aql,19h48,8.44,05-06.07.1988,10m,0h36,,9x12,Большой Шмидт,Солодовников В.В.,,,,,,,,,,,,,,,
42S-3.1,Star,19h00,40.00,05-06.07.1988,10m,0h48,,9x12,Большой Шмидт,Солодовников В.В.,,,,,,,,,,,,,,,
42S-2.2,Star,19h00,15.00,05-06.07.1988,8m,1h00,,9x12,Большой Шмидт,Солодовников В.В.,,,,,,,,,,,,,,,
42S-3.2,Star,19h00,20.00,05-06.07.1988,10m,1h10,,9x12,Большой Шмидт,Солодовников В.В.,,,,,,,,,,,,,,,
42S-2.6,Star,8h00,80.00,05-06.07.1988,8m,1h44,,9x12,Большой Шмидт,Солодовников В.В.,,,,,,,,,,,,,,,
42S-3.6,Star,8h00,85.00,05-06.07.1988,8m,1h54,,9x12,Большой Шмидт,Солодовников В.В.,,,,,,,,,,,,,,,
42S-2.7,Star,8h00,90.00,05-06.07.1988,8m,2h04,,9x12,Большой Шмидт,Солодовников В.В.,,,,,,,,,,,,,,,
44S-3.1,Star,6h15,-23.00,30.11-01.12.1986,10m,0h38,,9x12,Большой Шмидт,Солодовников В.В.,,,,,,,,,,,,,,,
44S-2.2,Star,6h30,10.00,30.11-01.12.1986,10m,0h54,,9x12,Большой Шмидт,Солодовников В.В.,,,,,,,,,,,,,,,
44S-3.2,Star,7h00,-10.00,30.11-01.12.1986,10m,1h09,,9x12,Большой Шмидт,Солодовников В.В.,,,,,,,,,,,,,,,
44S-2.3,Star,6h00,17.00,30.11-01.12.1986,10m,1h25,,9x12,Большой Шмидт,Солодовников В.В.,,,,,,,,,,,,,,,
44S-3.3,Star,5h30,20.00,30.11-01.12.1986,10m,1h39,,9x12,Большой Шмидт,Солодовников В.В.,,,,,,,,,,,,,,,
44S-3.4,Star,6h00,10.00,30.11-01.12.1986,10m,2h12,,9x12,Большой Шмидт,Солодовников В.В.,,,,,,,,,,,,,,,
44S-2.5,Star,6h00,15.00,30.11-01.12.1986,10m,2h24,,9x12,Большой Шмидт,Солодовников В.В.,,,,,,,,,,,,,,,
44S-3.5,Star,6h00,20.00,30.11-01.12.1986,10m,2h37,,9x12,Большой Шмидт,Солодовников В.В.,,,,,,,,,,,,,,,
44S-2.7,Star,5h30,10.00,30.11-01.12.1986,10m,3h19,,9x12,Большой Шмидт,Солодовников В.В.,,,,,,,,,,,,,,,
44S-3.7,Star,5h30,5.00,30.11-01.12.1986,10m,3h32,,9x12,Большой Шмидт,Солодовников В.В.,,,,,,,,,,,,,,,
45S-2.4,Aql,,,15-16.07.1986,,,,9x12,Большой Шмидт,Солодовников В.В.,,,,,,,,,,,,,,,
45S-3.4,Aql,,,15-16.07.1986,,,,9x12,Большой Шмидт,Солодовников В.В.,,,,,,,,,,,,,,,
45S-2.3,Aqr,22h00,-5.00,15-16.07.1986,10m,2h17,,9x12,Большой Шмидт,Солодовников В.В.,,,,,,,,,,,,,,,
45S-3.3,Aqr,22h00,0.00,15-16.07.1986,10m,2h28,,9x12,Большой Шмидт,Солодовников В.В.,,,,,,,,,,,,,,,
45S-2.2,Star,13h00,5.00,07-08.05.1987,,3h55,,9x12,Большой Шмидт,Солодовников В.В.,,,,,,,,,,,,,,,
45S-3.2,Star,13h00,10.00,07-08.05.1987,,4h06,,9x12,Большой Шмидт,Солодовников В.В.,,,,,,,,,,,,,,,
45S-2.3,Star,13h30,0.00,07-08.05.1987,,4h17,,9x12,Большой Шмидт,Солодовников В.В.,,,,,,,,,,,,,,,
45S-3.3,Star,13h30,5.00,07-08.05.1987,,4h27,,9x12,Большой Шмидт,Солодовников В.В.,,,,,,,,,,,,,,,
45S-2.4,Star,13h30,10.00,07-08.05.1987,,4h36,,9x12,Большой Шмидт,Солодовников В.В.,,,,,,,,,,,,,,,
45S-3.4,Star,13h30,15.00,07-08.05.1987,,4h48,,9x12,Большой Шмидт,Солодовников В.В.,,,,,,,,,,,,,,,
45S-2.2,Star,22h30,-7.00,24-25.09.1987,,,,9x12,Большой Шмидт,Солодовников В.В.,,,,,,,,,,,,,,,
45S-3.2,Star,22h30,-7.00,24-25.09.1987,,,,9x12,Большой Шмидт,Солодовников В.В.,,,,,,,,,,,,,,,
46S-2.1,Trifid-lagoon,,,24-25.07.1988,32.5m,3h25,,9x12,Большой Шмидт,Солодовников В.В.,ZU-21+УФС,,,,,,,,,,,,,,
46S-st1,Del,,,24-25.07.1988,32.5m,1h18,,9x12,Большой Шмидт,Солодовников В.В.,,,,,,,,,,,,,,,
46S-3.1,alf Aql,19h50,10.00,24-25.07.1988,10m,2h43,,9x12,Большой Шмидт,Солодовников В.В.,,,,,,,,,,,,,,,
46S-2.2,Star,19h30,15.00,24-25.07.1988,10m,2h55,,9x12,Большой Шмидт,Солодовников В.В.,,,,,,,,,,,,,,,
46S-3.2,Star,19h30,20.00,24-25.07.1988,10m,3h07,,9x12,Большой Шмидт,Солодовников В.В.,,,,,,,,,,,,,,,
46S-3.3,Star,0h00,-25.00,24-25.07.1988,8m,4h44,,9x12,Большой Шмидт,Солодовников В.В.,,,,,,,,,,,,,,,
46S-2.4,Star,0h00,-20.00,24-25.07.1988,12m,4h01,,9x12,Большой Шмидт,Солодовников В.В.,,,,,,,,,,,,,,,
47S-2.1,alf-Aql,19h35,15.00,25-26.07.1988,10m,3h37,,9x12,Большой Шмидт,Солодовников В.В.,,,,,,,,,,,,,,,
